paths,labels
data\images\fabia_color\call\20250321162618.jpg,0
data\images\fabia_color\call\20250321162618_aug_0.jpg,0
data\images\fabia_color\call\20250321162618_aug_1.jpg,0
data\images\fabia_color\call\20250321162618_aug_2.jpg,0
data\images\fabia_color\call\20250321162623.jpg,0
data\images\fabia_color\call\20250321162623_aug_0.jpg,0
data\images\fabia_color\call\20250321162623_aug_1.jpg,0
data\images\fabia_color\call\20250321162623_aug_2.jpg,0
data\images\fabia_color\call\20250321162627.jpg,0
data\images\fabia_color\call\20250321162627_aug_0.jpg,0
data\images\fabia_color\call\20250321162627_aug_1.jpg,0
data\images\fabia_color\call\20250321162627_aug_2.jpg,0
data\images\fabia_color\call\20250321162629.jpg,0
data\images\fabia_color\call\20250321162629_aug_0.jpg,0
data\images\fabia_color\call\20250321162629_aug_1.jpg,0
data\images\fabia_color\call\20250321162629_aug_2.jpg,0
data\images\fabia_color\call\20250321163338.jpg,0
data\images\fabia_color\call\20250321163338_aug_0.jpg,0
data\images\fabia_color\call\20250321163338_aug_1.jpg,0
data\images\fabia_color\call\20250321163338_aug_2.jpg,0
data\images\fabia_color\call\20250321163341.jpg,0
data\images\fabia_color\call\20250321163341_aug_0.jpg,0
data\images\fabia_color\call\20250321163341_aug_1.jpg,0
data\images\fabia_color\call\20250321163341_aug_2.jpg,0
data\images\fabia_color\call\20250321164905.jpg,0
data\images\fabia_color\call\20250321164905_aug_0.jpg,0
data\images\fabia_color\call\20250321164905_aug_1.jpg,0
data\images\fabia_color\call\20250321164905_aug_2.jpg,0
data\images\fabia_color\call\20250321164908.jpg,0
data\images\fabia_color\call\20250321164908_aug_0.jpg,0
data\images\fabia_color\call\20250321164908_aug_1.jpg,0
data\images\fabia_color\call\20250321164908_aug_2.jpg,0
data\images\fabia_color\call\20250321164910.jpg,0
data\images\fabia_color\call\20250321164910_aug_0.jpg,0
data\images\fabia_color\call\20250321164910_aug_1.jpg,0
data\images\fabia_color\call\20250321164910_aug_2.jpg,0
data\images\fabia_color\call\20250321164912.jpg,0
data\images\fabia_color\call\20250321164912_aug_0.jpg,0
data\images\fabia_color\call\20250321164912_aug_1.jpg,0
data\images\fabia_color\call\20250321164912_aug_2.jpg,0
data\images\fabia_color\call\20250321164913.jpg,0
data\images\fabia_color\call\20250321164913_aug_0.jpg,0
data\images\fabia_color\call\20250321164913_aug_1.jpg,0
data\images\fabia_color\call\20250321164913_aug_2.jpg,0
data\images\fabia_color\like\20250321163342.jpg,1
data\images\fabia_color\like\20250321163342_aug_0.jpg,1
data\images\fabia_color\like\20250321163342_aug_1.jpg,1
data\images\fabia_color\like\20250321163342_aug_2.jpg,1
data\images\fabia_color\like\20250321163344.jpg,1
data\images\fabia_color\like\20250321163344_aug_0.jpg,1
data\images\fabia_color\like\20250321163344_aug_1.jpg,1
data\images\fabia_color\like\20250321163344_aug_2.jpg,1
data\images\fabia_color\like\20250321163346.jpg,1
data\images\fabia_color\like\20250321163346_aug_0.jpg,1
data\images\fabia_color\like\20250321163346_aug_1.jpg,1
data\images\fabia_color\like\20250321163346_aug_2.jpg,1
data\images\fabia_color\like\20250321163349.jpg,1
data\images\fabia_color\like\20250321163349_aug_0.jpg,1
data\images\fabia_color\like\20250321163349_aug_1.jpg,1
data\images\fabia_color\like\20250321163349_aug_2.jpg,1
data\images\fabia_color\like\20250321163351.jpg,1
data\images\fabia_color\like\20250321163351_aug_0.jpg,1
data\images\fabia_color\like\20250321163351_aug_1.jpg,1
data\images\fabia_color\like\20250321163351_aug_2.jpg,1
data\images\fabia_color\like\20250321163352.jpg,1
data\images\fabia_color\like\20250321163352_aug_0.jpg,1
data\images\fabia_color\like\20250321163352_aug_1.jpg,1
data\images\fabia_color\like\20250321163352_aug_2.jpg,1
data\images\fabia_color\like\20250321163353.jpg,1
data\images\fabia_color\like\20250321163353_aug_0.jpg,1
data\images\fabia_color\like\20250321163353_aug_1.jpg,1
data\images\fabia_color\like\20250321163353_aug_2.jpg,1
data\images\fabia_color\like\20250321163355.jpg,1
data\images\fabia_color\like\20250321163355_aug_0.jpg,1
data\images\fabia_color\like\20250321163355_aug_1.jpg,1
data\images\fabia_color\like\20250321163355_aug_2.jpg,1
data\images\fabia_color\like\20250321163402.jpg,1
data\images\fabia_color\like\20250321163402_aug_0.jpg,1
data\images\fabia_color\like\20250321163402_aug_1.jpg,1
data\images\fabia_color\like\20250321163402_aug_2.jpg,1
data\images\fabia_color\like\20250321163411.jpg,1
data\images\fabia_color\like\20250321163411_aug_0.jpg,1
data\images\fabia_color\like\20250321163411_aug_1.jpg,1
data\images\fabia_color\like\20250321163411_aug_2.jpg,1
data\images\fabia_color\like\20250321163413.jpg,1
data\images\fabia_color\like\20250321163413_aug_0.jpg,1
data\images\fabia_color\like\20250321163413_aug_1.jpg,1
data\images\fabia_color\like\20250321163413_aug_2.jpg,1
data\images\fabia_color\like\20250321164150.jpg,1
data\images\fabia_color\like\20250321164150_aug_0.jpg,1
data\images\fabia_color\like\20250321164150_aug_1.jpg,1
data\images\fabia_color\like\20250321164150_aug_2.jpg,1
data\images\fabia_color\like\20250321164201.jpg,1
data\images\fabia_color\like\20250321164201_aug_0.jpg,1
data\images\fabia_color\like\20250321164201_aug_1.jpg,1
data\images\fabia_color\like\20250321164201_aug_2.jpg,1
data\images\fabia_color\like\20250321164203.jpg,1
data\images\fabia_color\like\20250321164203_aug_0.jpg,1
data\images\fabia_color\like\20250321164203_aug_1.jpg,1
data\images\fabia_color\like\20250321164203_aug_2.jpg,1
data\images\fabia_color\like\20250321164727.jpg,1
data\images\fabia_color\like\20250321164727_aug_0.jpg,1
data\images\fabia_color\like\20250321164727_aug_1.jpg,1
data\images\fabia_color\like\20250321164727_aug_2.jpg,1
data\images\fabia_color\like\20250321164729.jpg,1
data\images\fabia_color\like\20250321164729_aug_0.jpg,1
data\images\fabia_color\like\20250321164729_aug_1.jpg,1
data\images\fabia_color\like\20250321164729_aug_2.jpg,1
data\images\fabia_color\like\20250321164731.jpg,1
data\images\fabia_color\like\20250321164731_aug_0.jpg,1
data\images\fabia_color\like\20250321164731_aug_1.jpg,1
data\images\fabia_color\like\20250321164731_aug_2.jpg,1
data\images\fabia_color\like\20250321164733.jpg,1
data\images\fabia_color\like\20250321164733_aug_0.jpg,1
data\images\fabia_color\like\20250321164733_aug_1.jpg,1
data\images\fabia_color\like\20250321164733_aug_2.jpg,1
data\images\fabia_color\like\20250321164737.jpg,1
data\images\fabia_color\like\20250321164737_aug_0.jpg,1
data\images\fabia_color\like\20250321164737_aug_1.jpg,1
data\images\fabia_color\like\20250321164737_aug_2.jpg,1
data\images\fabia_color\like\20250321164739.jpg,1
data\images\fabia_color\like\20250321164739_aug_0.jpg,1
data\images\fabia_color\like\20250321164739_aug_1.jpg,1
data\images\fabia_color\like\20250321164739_aug_2.jpg,1
data\images\fabia_color\like\20250321164742.jpg,1
data\images\fabia_color\like\20250321164742_aug_0.jpg,1
data\images\fabia_color\like\20250321164742_aug_1.jpg,1
data\images\fabia_color\like\20250321164742_aug_2.jpg,1
data\images\fabia_color\like\20250321164745.jpg,1
data\images\fabia_color\like\20250321164745_aug_0.jpg,1
data\images\fabia_color\like\20250321164745_aug_1.jpg,1
data\images\fabia_color\like\20250321164745_aug_2.jpg,1
data\images\fabia_color\like\20250321165629.jpg,1
data\images\fabia_color\like\20250321165629_aug_0.jpg,1
data\images\fabia_color\like\20250321165629_aug_1.jpg,1
data\images\fabia_color\like\20250321165629_aug_2.jpg,1
data\images\fabia_color\like\20250321165631.jpg,1
data\images\fabia_color\like\20250321165631_aug_0.jpg,1
data\images\fabia_color\like\20250321165631_aug_1.jpg,1
data\images\fabia_color\like\20250321165631_aug_2.jpg,1
data\images\fabia_color\like\20250321165903.jpg,1
data\images\fabia_color\like\20250321165903_aug_0.jpg,1
data\images\fabia_color\like\20250321165903_aug_1.jpg,1
data\images\fabia_color\like\20250321165903_aug_2.jpg,1
data\images\fabia_color\like\20250321170037.jpg,1
data\images\fabia_color\like\20250321170037_aug_0.jpg,1
data\images\fabia_color\like\20250321170037_aug_1.jpg,1
data\images\fabia_color\like\20250321170037_aug_2.jpg,1
data\images\fabia_color\like\20250321170038.jpg,1
data\images\fabia_color\like\20250321170038_aug_0.jpg,1
data\images\fabia_color\like\20250321170038_aug_1.jpg,1
data\images\fabia_color\like\20250321170038_aug_2.jpg,1
data\images\fabia_color\like\20250321170039.jpg,1
data\images\fabia_color\like\20250321170039_aug_0.jpg,1
data\images\fabia_color\like\20250321170039_aug_1.jpg,1
data\images\fabia_color\like\20250321170039_aug_2.jpg,1
data\images\fabia_color\peace_inv\20250321162413.jpg,2
data\images\fabia_color\peace_inv\20250321162413_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162413_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162413_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162425.jpg,2
data\images\fabia_color\peace_inv\20250321162425_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162425_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162425_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162429.jpg,2
data\images\fabia_color\peace_inv\20250321162429_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162429_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162429_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162433.jpg,2
data\images\fabia_color\peace_inv\20250321162433_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162433_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162433_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162439.jpg,2
data\images\fabia_color\peace_inv\20250321162439_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162439_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162439_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162442.jpg,2
data\images\fabia_color\peace_inv\20250321162442_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162442_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162442_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162448.jpg,2
data\images\fabia_color\peace_inv\20250321162448_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162448_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162448_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162454.jpg,2
data\images\fabia_color\peace_inv\20250321162454_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162454_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162454_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162503.jpg,2
data\images\fabia_color\peace_inv\20250321162503_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162503_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162503_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162505.jpg,2
data\images\fabia_color\peace_inv\20250321162505_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162505_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162505_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162509.jpg,2
data\images\fabia_color\peace_inv\20250321162509_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162509_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162509_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162516.jpg,2
data\images\fabia_color\peace_inv\20250321162516_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162516_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162516_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162518.jpg,2
data\images\fabia_color\peace_inv\20250321162518_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162518_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162518_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321162519.jpg,2
data\images\fabia_color\peace_inv\20250321162519_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321162519_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321162519_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321163248.jpg,2
data\images\fabia_color\peace_inv\20250321163248_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321163248_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321163248_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321163416.jpg,2
data\images\fabia_color\peace_inv\20250321163416_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321163416_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321163416_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321163417.jpg,2
data\images\fabia_color\peace_inv\20250321163417_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321163417_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321163417_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321164515.jpg,2
data\images\fabia_color\peace_inv\20250321164515_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321164515_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321164515_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321164753.jpg,2
data\images\fabia_color\peace_inv\20250321164753_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321164753_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321164753_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321164755.jpg,2
data\images\fabia_color\peace_inv\20250321164755_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321164755_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321164755_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321164757.jpg,2
data\images\fabia_color\peace_inv\20250321164757_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321164757_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321164757_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321164801.jpg,2
data\images\fabia_color\peace_inv\20250321164801_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321164801_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321164801_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321164804.jpg,2
data\images\fabia_color\peace_inv\20250321164804_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321164804_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321164804_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321164809.jpg,2
data\images\fabia_color\peace_inv\20250321164809_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321164809_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321164809_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321165623.jpg,2
data\images\fabia_color\peace_inv\20250321165623_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321165623_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321165623_aug_2.jpg,2
data\images\fabia_color\peace_inv\20250321165624.jpg,2
data\images\fabia_color\peace_inv\20250321165624_aug_0.jpg,2
data\images\fabia_color\peace_inv\20250321165624_aug_1.jpg,2
data\images\fabia_color\peace_inv\20250321165624_aug_2.jpg,2
