paths,labels
data\images\fabia_gray\call\20250321162618_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321162618_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321162618_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321162618_bw.jpg,0
data\images\fabia_gray\call\20250321162623_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321162623_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321162623_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321162623_bw.jpg,0
data\images\fabia_gray\call\20250321162627_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321162627_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321162627_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321162627_bw.jpg,0
data\images\fabia_gray\call\20250321162629_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321162629_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321162629_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321162629_bw.jpg,0
data\images\fabia_gray\call\20250321163338_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321163338_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321163338_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321163338_bw.jpg,0
data\images\fabia_gray\call\20250321163341_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321163341_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321163341_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321163341_bw.jpg,0
data\images\fabia_gray\call\20250321164905_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321164905_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321164905_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321164905_bw.jpg,0
data\images\fabia_gray\call\20250321164908_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321164908_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321164908_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321164908_bw.jpg,0
data\images\fabia_gray\call\20250321164910_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321164910_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321164910_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321164910_bw.jpg,0
data\images\fabia_gray\call\20250321164912_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321164912_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321164912_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321164912_bw.jpg,0
data\images\fabia_gray\call\20250321164913_aug_0_bw.jpg,0
data\images\fabia_gray\call\20250321164913_aug_1_bw.jpg,0
data\images\fabia_gray\call\20250321164913_aug_2_bw.jpg,0
data\images\fabia_gray\call\20250321164913_bw.jpg,0
data\images\fabia_gray\fist\20250321164450_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164450_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164450_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164450_bw.jpg,1
data\images\fabia_gray\fist\20250321164452_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164452_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164452_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164452_bw.jpg,1
data\images\fabia_gray\fist\20250321164454_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164454_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164454_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164454_bw.jpg,1
data\images\fabia_gray\fist\20250321164456_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164456_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164456_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164456_bw.jpg,1
data\images\fabia_gray\fist\20250321164459_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164459_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164459_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164459_bw.jpg,1
data\images\fabia_gray\fist\20250321164501_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164501_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164501_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164501_bw.jpg,1
data\images\fabia_gray\fist\20250321164502_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164502_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164502_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164502_bw.jpg,1
data\images\fabia_gray\fist\20250321164505_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164505_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164505_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164505_bw.jpg,1
data\images\fabia_gray\fist\20250321164506_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164506_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164506_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164506_bw.jpg,1
data\images\fabia_gray\fist\20250321164507_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164507_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164507_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164507_bw.jpg,1
data\images\fabia_gray\fist\20250321164519_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164519_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164519_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164519_bw.jpg,1
data\images\fabia_gray\fist\20250321164521_aug_0_bw.jpg,1
data\images\fabia_gray\fist\20250321164521_aug_1_bw.jpg,1
data\images\fabia_gray\fist\20250321164521_aug_2_bw.jpg,1
data\images\fabia_gray\fist\20250321164521_bw.jpg,1
data\images\fabia_gray\four\20250321163822_aug_0_bw.jpg,2
data\images\fabia_gray\four\20250321163822_aug_1_bw.jpg,2
data\images\fabia_gray\four\20250321163822_aug_2_bw.jpg,2
data\images\fabia_gray\four\20250321163822_bw.jpg,2
data\images\fabia_gray\four\20250321163825_aug_0_bw.jpg,2
data\images\fabia_gray\four\20250321163825_aug_1_bw.jpg,2
data\images\fabia_gray\four\20250321163825_aug_2_bw.jpg,2
data\images\fabia_gray\four\20250321163825_bw.jpg,2
data\images\fabia_gray\four\20250321163827_aug_0_bw.jpg,2
data\images\fabia_gray\four\20250321163827_aug_1_bw.jpg,2
data\images\fabia_gray\four\20250321163827_aug_2_bw.jpg,2
data\images\fabia_gray\four\20250321163827_bw.jpg,2
data\images\fabia_gray\four\20250321163829_aug_0_bw.jpg,2
data\images\fabia_gray\four\20250321163829_aug_1_bw.jpg,2
data\images\fabia_gray\four\20250321163829_aug_2_bw.jpg,2
data\images\fabia_gray\four\20250321163829_bw.jpg,2
data\images\fabia_gray\four\20250321163830_aug_0_bw.jpg,2
data\images\fabia_gray\four\20250321163830_aug_1_bw.jpg,2
data\images\fabia_gray\four\20250321163830_aug_2_bw.jpg,2
data\images\fabia_gray\four\20250321163830_bw.jpg,2
data\images\fabia_gray\four\20250321163833_aug_0_bw.jpg,2
data\images\fabia_gray\four\20250321163833_aug_1_bw.jpg,2
data\images\fabia_gray\four\20250321163833_aug_2_bw.jpg,2
data\images\fabia_gray\four\20250321163833_bw.jpg,2
data\images\fabia_gray\four\20250321163835_aug_0_bw.jpg,2
data\images\fabia_gray\four\20250321163835_aug_1_bw.jpg,2
data\images\fabia_gray\four\20250321163835_aug_2_bw.jpg,2
data\images\fabia_gray\four\20250321163835_bw.jpg,2
data\images\fabia_gray\like\20250321163342_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163342_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163342_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163342_bw.jpg,3
data\images\fabia_gray\like\20250321163344_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163344_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163344_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163344_bw.jpg,3
data\images\fabia_gray\like\20250321163346_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163346_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163346_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163346_bw.jpg,3
data\images\fabia_gray\like\20250321163349_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163349_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163349_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163349_bw.jpg,3
data\images\fabia_gray\like\20250321163351_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163351_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163351_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163351_bw.jpg,3
data\images\fabia_gray\like\20250321163352_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163352_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163352_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163352_bw.jpg,3
data\images\fabia_gray\like\20250321163353_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163353_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163353_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163353_bw.jpg,3
data\images\fabia_gray\like\20250321163355_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163355_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163355_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163355_bw.jpg,3
data\images\fabia_gray\like\20250321163402_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163402_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163402_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163402_bw.jpg,3
data\images\fabia_gray\like\20250321163411_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163411_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163411_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163411_bw.jpg,3
data\images\fabia_gray\like\20250321163413_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321163413_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321163413_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321163413_bw.jpg,3
data\images\fabia_gray\like\20250321164150_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321164150_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321164150_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321164150_bw.jpg,3
data\images\fabia_gray\like\20250321164201_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321164201_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321164201_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321164201_bw.jpg,3
data\images\fabia_gray\like\20250321164203_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321164203_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321164203_aug_2_bw.jpg,3
data\images\fabia_gray\like\20250321164203_bw.jpg,3
data\images\fabia_gray\like\20250321164727_aug_0_bw.jpg,3
data\images\fabia_gray\like\20250321164727_aug_1_bw.jpg,3
data\images\fabia_gray\like\20250321164727_aug_2_bw.jpg,3
